"","zip_code","agi_range","return_count","exemption_count","dependent_count","agi_amt","salary_wages_count","salary_wages_amt","taxable_interest_count","taxable_interest_amt","ordinary_dividends_count","ordinary_dividends_amt","business_income_count","business_income_amt","farm_income_count","net_capital_gain_count","net_capital_gain_amt","taxable_IRA_dist_count","taxable_IRA_dist_amt","pension_income_count","pension_income_amt","unemployment_count","unemployment_amt","social_security_count","social_security_amt","item_deduc_count","item_deduc_amt","charitable_contribution_count","charitable_contribution_amt","mortgage_int_count","mortgage_int_amt","property_tax_count","property_tax_amt","state_local_income_tax_count","state_local_income_tax_amt","state_local_sales_tax_count","state_local_sales_tax_amt","taxable_income_count","taxable_income_amt","tot_tax_credit_count","tot_tax_credit_amt","earned_income_credit_count","earned_income_credit_amt","excess_eaned_income_credit_count","excess_eaned_income_credit_amt","tax_liability_count","tax_liability_amt","balance_due_count","balance_due_amt","refund_count","refund_amt","paid_prep_count","year"
"1","ZIP
code [1]","Size of adjusted gross income","Number of returns","Number of exemptions","Number of dependents","Adjusted gross income (AGI) [2]","Salaries and wages in AGI",NA,"Taxable interest",NA,"Ordinary dividends",NA,"Business or profession
net income (less loss)",NA,"Number of 
farm returns","Net capital gain (less loss) in AGI",NA,"Taxable individual retirement
arrangement distributions",NA,"Pensions and annuities in AGI",NA,"Unemployment compensation [4]",NA,"Taxable Social Security benefits",NA,"Total itemized deductions",NA,"Contributions",NA,"Mortgage interest paid",NA,"Real estate taxes",NA,"State and local income taxes",NA,"State and local general sales taxes",NA,"Taxable income",NA,"Total tax credits",NA,"Earned income credit [5]",NA,"Excess earned income credit (refundable) [6]",NA,"Total tax liability [8]",NA,"Tax due at time of filing [9]",NA,"Overpayments refunded [10]",NA,"Number with paid preparer's signature",2013
"2",NA,"Total",NA,NA,NA,NA,"Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount",NA,"Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount","Number of returns","Amount",NA,2013
"3",NA,"Total","-1","-6","-7","-8","-11","-12","-13","-14","-15","-16","-21","-22","-29","-23","-24","-25","-26","-27","-28","-30","-31","-32","-33","-52","-53","-65","-66","-63","-64","-59","-60","-55","-56","-57","-58","-67","-68","-73","-74","-91","-92","-93","-94","-101","-102","-107","-108","-109","-110","-5",2013
"4","0","Total","2868330","5764360","1968330","152920805","2428520","111034767","725080","1162740","386620","2222239","486230","7574066","62250","343810","4714381","232490","3443197","542760","10936638","137920","583786","360310","4501800","609810","13311927","505120","3474275","467900","3794732","532050","1401692","49240","433818","488430","1123967","2111980","102406817","866290","995247","676920","1666942","599070","1449939","2053930","20026707","450580","2159356","2311560","6595922","1458930",2013
"5","0","$1 under $25,000","1227610","1925890","686900","15439170","982900","12042842","156140","111249","72780","111875","210680","1391729","14610","64340","48618","58070","342860","150650","1323087","63970","269705","47070","83639","56140","836000","37370","96822","30330","184029","39160","69160","2460","2591","41970","43636","502830","2882907","145120","47615","499500","1317074","452290","1154797","565760","504106","94330","77767","1071370","2434971","592140",2013
"6","0","$25,000 under $50,000","719920","1491810","535940","25840632","635000","21379860","145080","115209","64600","138721","92890","749474","13850","54970","108102","52060","493491","135960","2138616","38000","155513","117770","734047","122810","1871832","91010","322295","85500","513767","96220","159147","6680","11549","94980","136227","690420","12955552","303030","256290","176690","349776","145920","295036","583010","1495930","90880","146824","619350","1734588","355730",2013
"7","0","$50,000 under $75,000","372940","864230","268330","22908270","327670","17989992","125280","113361","60460","169856","61730","656993","11730","51920","153213","41110","531017","96860","2099790","18380","78859","79010","1152492","118780","2041813","95160","408315","92980","623524","103330","191131","7490","19390","95630","171439","371530","14804763","165390","239904","730","92","860","106","359720","1960283","79050","185782","286570","815681","197000",2013
"8","0","$75,000 under $100,000","222260","573230","176110","19235337","196290","14761419","96900","95121","50970","166258","41030","570028","8370","43870","182456","30620","531179","65720","1786151","9160","39328","50370","987804","93900","1827775","80630","419636","78010","590119","86330","181853","6680","23428","77260","172331","221880","13675374","103780","173072","0","0","0","0","220580","1945326","54310","169178","161980","539336","118300",2013
"9","0","$100,000 under $200,000","250400","689310","222580","33610574","222470","24843349","141610","199808","89360","450667","55680","1500225","10290","80120","648390","39050","1023957","76340","2754682","7530","35630","52700","1197910","155150","3599639","141040","964958","131560","1193716","146780","417871","14550","80241","129010","375019","250170","26169791","115510","151453","0","0","0","0","249720","4767288","93140","507317","146370","603289","139670",2013
"10","0","$200,000 or more","75200","219890","78470","35886822","64190","20017305","60070","527992","48450","1184862","24220","2705617","3400","48590","3573602","11580","520693","17230","834312","880","4751","13390","345908","63030","3134868","59910","1262249","49520","689577","60230","382530","11380","296619","49580","225315","75150","31918430","33460","126913","0","0","0","0","75140","9353774","38870","1072488","25920","468057","56090",2013
