,zip_code,agi_range,return_count,exemption_count,dependent_count,agi_amt,salary_wages_count,salary_wages_amt,taxable_interest_count,taxable_interest_amt,ordinary_dividends_count,ordinary_dividends_amt,business_income_count,business_income_amt,farm_income_count,net_capital_gain_count,net_capital_gain_amt,taxable_IRA_dist_count,taxable_IRA_dist_amt,pension_income_count,pension_income_amt,unemployment_count,unemployment_amt,social_security_count,social_security_amt,item_deduc_count,item_deduc_amt,charitable_contribution_count,charitable_contribution_amt,mortgage_int_count,mortgage_int_amt,property_tax_count,property_tax_amt,state_local_income_tax_count,state_local_income_tax_amt,state_local_sales_tax_count,state_local_sales_tax_amt,taxable_income_count,taxable_income_amt,tot_tax_credit_count,tot_tax_credit_amt,earned_income_credit_count,earned_income_credit_amt,excess_eaned_income_credit_count,excess_eaned_income_credit_amt,tax_liability_count,tax_liability_amt,balance_due_count,balance_due_amt,refund_count,refund_amt,paid_prep_count,year,agi_amt_avg,salary_avg,mortgage_amt_avg,prop_tax_avg,taxable_income_avg,earned_income_credit_avg,excess_eaned_income_credit_avg
1,0,Total,2858014,5813439,2025579,141804755,2401468,104584378,855900,1619297,388372,1972755,488640,7018079,65912,312595,3010355,227764,3356884,518258,9819119,230900,1297200,327610,3718181,678951,14545292,550357,3344957,539872,4839335,599812,1446441,51416,347224,556829,1199377,2093635,92421665,888758,1001148,676757,1582299,601262,1389975,2017184,16999906,400637,1629084,2349622,6618370,1505621,2011,49.6165361681223,43.5501859695819,8.96385624740679,2.41149060038812,44.1441153782775,2.33806078104844,2.31176259268006
2,0,"$1 under $25,000",1288959,2084021,760807,16211490,1011769,12269768,202161,233138,80402,152042,220601,1444136,16874,64324,3517,60481,350180,152085,1319221,118555,692294,43176,71826,70906,1044323,45526,108555,42295,281859,52071,87443,3275,3027,55375,62995,553609,3207471,171929,61897,515241,1297433,468221,1150129,597958,499429,94495,68235,1130295,2593531,658312,2011,12.5771960163201,12.1270448096354,6.66412105449817,1.67930325901173,5.79374793401119,2.51810900141875,2.45638064076579
3,0,"$25,000 under $50,000",711352,1509938,550632,25522363,626674,20961131,183517,209331,70369,190414,94912,737709,15725,53501,61270,52921,492147,133388,2063503,59327,324682,114168,673187,150950,2280623,108631,348331,112806,755416,123022,193173,7836,13024,120096,195109,684486,13004769,311198,276620,161516,284866,133041,239846,575873,1468087,83978,129903,617136,1753890,366117,2011,35.8786690696027,33.4482218825099,6.69659415279329,1.5702313407358,18.9993206581289,1.7637014289606,1.80279763381213
4,0,"$50,000 under $75,000",363937,864082,270883,22321918,322642,17681526,153103,179155,62671,180342,62215,621868,12464,48084,67615,40652,518766,92518,1952283,28141,148377,73501,1023771,139543,2405377,111337,438960,114546,872277,124306,217322,8453,20365,115660,206506,362416,14426347,167551,248748,0,0,0,0,351527,1897578,71002,158736,285128,837920,197248,2011,61.3345661474376,54.8023072011703,7.61508040437903,1.74828246424147,39.8060433314202,NA,NA
5,0,"$75,000 under $100,000",208019,546848,170698,17943707,185678,13978066,112231,144504,50728,153926,39788,522672,8457,39291,86738,28826,501101,60313,1578011,13332,70559,44087,819515,105615,2053974,90057,429537,90835,786227,98399,199650,7436,24449,88945,188740,207668,12732579,102690,169495,0,0,0,0,206690,1802182,45820,137693,156185,535760,112209,2011,86.259942601397,75.2812180225983,8.65555127428854,2.02898403439059,61.3121857965599,NA,NA
6,0,"$100,000 under $200,000",220433,615190,202264,29097590,198633,22112935,148234,262265,81584,355959,49601,1295460,8917,66152,313700,34099,913406,65440,2245201,10293,55799,42117,888373,153579,3626229,139397,888515,133681,1392680,146300,402079,14233,72536,130044,354100,220216,22442280,106165,139129,0,0,0,0,219911,4093142,74606,383333,135906,568985,122846,2011,132.001968852214,111.325585376045,10.4179352338777,2.74831852358168,101.910306244778,NA,NA
7,0,"$200,000 or more",65314,193360,70295,30707687,56072,17580952,56654,590904,42618,940072,21523,2396234,3475,41243,2477515,10785,581284,14514,660900,1252,5489,10561,241509,58358,3134766,55409,1131059,45709,750876,55714,346774,10183,213823,46709,191927,65240,26608219,29225,105259,0,0,0,0,65225,7239488,30736,751184,24972,328284,48889,2011,470.154744771412,313.542445427308,16.4273119079394,6.22418063682378,407.851302881668,NA,NA
8,37010,Total,2114,4746,1636,130264,1782,96909,892,1015,427,1706,371,6280,149,355,1651,146,1708,495,10583,111,928,253,2875,712,14776,554,2625,625,6455,653,1445,65,314,566,1355,1754,88354,869,1057,303,657,256,571,1648,15420,399,1873,1624,5264,1058,2011,61.6196783349101,54.3821548821549,10.328,2.21286370597243,50.3728620296465,2.16831683168317,2.23046875
9,37010,"$1 under $25,000",676,893,246,8185,498,5834,153,121,73,511,86,643,28,51,137,30,136,101,884,35,266,29,40,48,652,30,46,32,237,40,59,0,0,37,41,336,1979,102,37,195,466,168,406,331,281,77,62,543,1195,534,2011,12.1079881656805,11.714859437751,7.40625,1.475,5.88988095238095,2.38974358974359,2.41666666666667
10,37010,"$25,000 under $50,000",478,1056,372,17640,411,14016,157,146,64,207,76,627,29,58,347,29,289,96,1571,27,275,78,445,109,2050,72,250,89,715,91,177,27,68,85,123,458,8850,219,198,108,191,88,165,374,982,55,88,419,1355,0,2011,36.9037656903766,34.1021897810219,8.03370786516854,1.94505494505495,19.3231441048035,1.76851851851852,1.875
