"","county","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_Composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region","avg_Math","avg_Eng","avg_Sci","zip","primary_city","state","latitude","longitude","irs_estimated_population_2014"
"1","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37705,"Andersonville","TN",36.2,-84.04,4270
"2","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37710,"Briceville","TN",36.16,-84.3,770
"3","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37716,"Clinton","TN",36.09,-84.13,21270
"4","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37717,"Clinton","TN",36.09,-84.13,835
"5","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37754,"Heiskell","TN",36.12,-84.04,3950
"6","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37769,"Lake City","TN",36.22,-84.15,4710
"7","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37828,"Norris","TN",36.21,-84.06,1589
"8","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37830,"Oak Ridge","TN",35.96,-84.29,26680
"9","Anderson County",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",59.5194444444444,56.6058380414313,58.8645885286783,37831,"Oak Ridge","TN",35.96,-84.29,857
"10","Bedford County",64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE",59.5194444444444,56.6058380414313,58.8645885286783,37020,"Bell Buckle","TN",35.59,-86.35,4600
